"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PRF1",-1.45113678973928,4.09626153521803,-9.17110141072908,8.43202123483382e-19,6.53615700091272e-18,31.5074916855263
"TTC39C",1.07549318668426,3.53320314081201,9.16530523935863,8.83655018392626e-19,6.8470098624201e-18,31.4611922536095
"ARHGAP23",-1.11970040023964,3.96774960561311,-9.15934078457201,9.27288729510921e-19,7.17086125759378e-18,31.4135712908131
"BMP8A",1.04421543774578,1.52519749552301,9.14745426828434,1.02070759176663e-18,7.87766527986729e-18,31.3187365730575
"DRAM1",-1.41808851541603,6.48802002761456,-9.14730169376885,1.02196535733956e-18,7.88314692499438e-18,31.3175198764216
"EPHX4",1.41227080050824,2.09970842519684,9.14727006908679,1.02222625100296e-18,7.88314692499438e-18,31.3172676891151
"GSDMB",1.31975021730715,3.51799391262624,9.14563320834253,1.03582026685229e-18,7.98482318751786e-18,31.3042156212605
"ALDH1A1",-1.97716837344039,6.25236939256466,-9.14253974320764,1.06200194177859e-18,8.18018320320214e-18,31.279553566722
"EGLN3",1.93462354015778,3.81801727900361,9.14205275674219,1.06618284714042e-18,8.2091449142438e-18,31.2756717265533
"FBXL7",-1.03241718540088,2.65622434341566,-9.14048723486449,1.07973398349627e-18,8.31020200478604e-18,31.2631937656663
"HACD1",-1.30570057602696,2.53230260475913,-9.1336859701817,1.1406129855384e-18,8.76492319028975e-18,31.2090028868705
"SYT12",2.06299786325144,2.04967010445865,9.11625294725459,1.31262064228932e-18,1.00431700221925e-17,31.0702378612171
"AK4",1.64543928533175,2.92601932668572,9.11368020100273,1.34009177376199e-18,1.02493372014432e-17,31.0497758015345
"SGO2",1.01192992712993,2.40577950187732,9.11309680768417,1.3463998465766e-18,1.02922487947386e-17,31.0451364445893
"CHPF",1.10898574079018,6.90607024043753,9.10780480190919,1.40498054711849e-18,1.07203973436823e-17,31.003062595315
"KRT8",1.19550153670411,9.08813680802993,9.10104224596545,1.48352550855313e-18,1.13064470470151e-17,30.9493237353562
"BEAN1",1.3524563238765,1.86972346406057,9.10029531082429,1.49246318115254e-18,1.13656811487771e-17,30.9433900183951
"C6orf118",-1.46635026046381,1.03075893779481,-9.09877142471367,1.51086335720153e-18,1.14968271773318e-17,30.9312852631471
"SIGLEC14",-1.3670802504572,2.82725959223605,-9.09734877390469,1.52824380759975e-18,1.16245471839383e-17,30.9199860203248
"TTLL10",-1.08308307708351,0.874124238583743,-9.08981225231955,1.62367259752036e-18,1.2335990132232e-17,30.8601500514188
"SRGN",-1.33736922610633,8.34496485002706,-9.08889925100257,1.6356266191816e-18,1.24219727234809e-17,30.8529038213312
"NRROS",-1.05988291066725,3.30051071113486,-9.08651724172146,1.66722630350882e-18,1.26570317622937e-17,30.8340010544865
"ID2",-1.08112073066254,5.83520001623772,-9.08206405432772,1.72793202930338e-18,1.31076850904332e-17,30.7986720910812
"DKK3",-1.31951967726025,5.41694501273529,-9.07069956616767,1.89295111456851e-18,1.43260479578695e-17,30.708571596087
"ABCC9",-1.09196342376078,2.20265958279191,-9.06696974106932,1.95043939825599e-18,1.47382485796926e-17,30.6790189940411
"PPP1R16B",-1.23147997439011,3.04951036842925,-9.06591876131176,1.96694814181668e-18,1.48514864923929e-17,30.6706933851879
"CFTR",-1.78267743029134,2.41339570764699,-9.06527513302577,1.97712644854397e-18,1.49225608072573e-17,30.6655950730539
"MMP28",-2.32165118879686,3.99930474044749,-9.06415028824559,1.99504003803061e-18,1.50461198227807e-17,30.6566855959808
"RNF180",-1.02457925543749,1.99766247644669,-9.05820898192734,2.09235718581235e-18,1.57496110362402e-17,30.6096404391041
"RACGAP1",1.15840817384364,4.32305865353,9.05782967210658,2.09872738327417e-18,1.57914661095664e-17,30.6066377267684
"C20orf85",-3.03381712191197,3.0786030450674,-9.05496127554685,2.14752539354325e-18,1.61524056113668e-17,30.5839338212609
"IL23A",1.21572809466486,2.49893115024221,9.05128101228092,2.21178339964887e-18,1.66293028694494e-17,30.5548117182476
"BAIAP2L2",1.72500434461054,2.35175861741753,9.04862360145585,2.2593621350723e-18,1.69739367181491e-17,30.5337890062876
"PTGFRN",1.04028560126426,5.29050477010164,9.04543725748238,2.31774836438964e-18,1.74058707549831e-17,30.5085880104549
"ETS2",-1.06129937247063,6.81648929599313,-9.04176354504022,2.38692083013986e-18,1.79046603654684e-17,30.4795406361374
"MCM7",1.05017702930764,6.16094111804384,9.03566244667912,2.50634164108757e-18,1.87499735428196e-17,30.4313198933301
"TMTC1",-1.23516676198673,1.77727969122052,-9.03377643421202,2.54444078562724e-18,1.90204019325749e-17,30.4164185084265
"MMP13",2.69181740209625,2.84438150757594,9.03227602045881,2.57515949402751e-18,1.92426573226125e-17,30.4045654040129
"IRF7",1.08504433091455,5.68630401607552,9.0247435723586,2.73501092500462e-18,2.04214847130035e-17,30.3450821914352
"DPT",-1.76107416572376,4.95391727498541,-9.02458014989248,2.73858573547408e-18,2.04403511668392e-17,30.3437920680957
"TMCC3",-1.03102113425257,2.9289691518141,-9.02406053259302,2.74998294830135e-18,2.05175659681412e-17,30.339690114437
"SRD5A3",1.27445162549974,5.39639644931886,9.02364532928064,2.75912369780159e-18,2.05778927258984e-17,30.3364125511235
