"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FMO2",1.29312877519723,3.59121766176558,12.9679833585378,2.38453537763786e-33,2.34876734697329e-31,64.9476229115334
"SGCA",1.10607341460996,2.28646294425646,12.9565650423003,2.66548602312345e-33,2.61231024668225e-31,64.8374154226735
"SHROOM4",1.04295891707096,2.79113757725231,12.9493176335418,2.86067592727705e-33,2.78958813048422e-31,64.7674896089417
"HSD17B6",1.67381968382026,4.01953353544562,12.8933095496384,4.93601979119372e-33,4.78941263620155e-31,64.2277550487863
"RAD54L",-1.07171246785337,2.54317554528406,-12.8381826781143,8.43465095312351e-33,7.94690809366028e-31,63.6976490594591
"TRIP13",-1.26241338775898,3.88283110155052,-12.8376043364047,8.48214510445808e-33,7.95323442174259e-31,63.6920936743994
"PLA2G4F",1.33005118664434,2.46634762452236,12.8234356264561,9.73265415686393e-33,8.99601677826147e-31,63.5560322308657
"ZWINT",-1.08025776405511,5.11942029987699,-12.8177486733844,1.028476708318e-32,9.46150058600281e-31,63.5014418627835
"ESYT3",1.14369971011759,2.42629718286648,12.8039840574846,1.17536527518861e-32,1.07473965029139e-30,63.3693624395967
"TOP2A",-1.37816954314166,5.43226765736086,-12.7706153732001,1.62404619000786e-32,1.47319873691736e-30,63.0494668743066
"CDCA2",-1.00077784233729,2.27727651863375,-12.7278576466483,2.45623590557573e-32,2.18739583865039e-30,62.6401772351038
"GPIHBP1",1.23641956362229,2.04371823539278,12.6839328148348,3.75433723886394e-32,3.29823599862898e-30,62.2204405925508
"MKI67",-1.2756996163524,3.89869839761647,-12.6662086399849,4.45446312725743e-32,3.86112863870674e-30,62.0512811728951
"RAD51AP1",-1.06766015967024,3.38701561970671,-12.6511028225317,5.1528292331462e-32,4.44670922717037e-30,61.9072066368769
"CYP4X1",1.55176815056406,3.47787297608131,12.6453616190355,5.44596831817056e-32,4.65845263637195e-30,61.8524718879125
"DEPDC1B",-1.09247204722826,2.53344048911343,-12.6373788854027,5.88135111712602e-32,5.00890789682571e-30,61.7763882512118
"TK1",-1.20949774936888,6.29841883338956,-12.6351552824435,6.00868444228794e-32,5.09510315991051e-30,61.7551994146533
"CYBRD1",1.17282203021815,5.9521693466106,12.6328289269593,6.14484117643197e-32,5.18800162181614e-30,61.7330334875157
"EDNRB",1.09659808900124,3.03445319992282,12.6251083995061,6.61910945698669e-32,5.56433154050049e-30,61.6594859221923
"HPGDS",1.19814472307765,2.44325139575045,12.5967093843849,8.69930707372135e-32,7.25053785721314e-30,61.3891487966904
"MCM4",-1.01398366284191,5.13901627202088,-12.5755884122615,1.06577560338634e-31,8.80755152239143e-30,61.1882962132682
"CA3",1.1333826147854,1.82874617565634,12.5635034307956,1.19698155985768e-31,9.85009762105664e-30,61.0734507002646
"CD1E",1.36544897239428,2.10167289519903,12.5438414118875,1.44567254032532e-31,1.18466182999852e-29,60.8867212957202
